BRC,BRC names,species,mycorrhiza
9202039.0,Taxus baccata,Taxus baccata,AM
9202039.0,Taxus baccata,Taxus baccata,non-EcM
9202039.0,Taxus baccata,Taxus baccata,EcM
9204446.0,Quercus seedling/sp,,
920841.0,Fraxinus excelsior (c),,
9204526.0,Cotoneaster sp.,,
920557.0,Corylus avellana,Corylus avellana,AM
920557.0,Corylus avellana,Corylus avellana,EcM
9204442.0,Larix sp.,,
9202119.0,Ulmus glabra,Ulmus glabra,AM
9202119.0,Ulmus glabra,Ulmus glabra,non-EcM
9201967.0,Sorbus lancastriensis,,
9201960.0,Sorbus aucuparia,Sorbus aucuparia,AM
9201960.0,Sorbus aucuparia,Sorbus aucuparia,nm
9201960.0,Sorbus aucuparia,Sorbus aucuparia,EcM
9201960.0,Sorbus aucuparia,Sorbus aucuparia,non-EcM
920569.0,Crataegus monogyna,Crataegus monogyna,AM
920569.0,Crataegus monogyna,Crataegus monogyna,dual
920569.0,Crataegus monogyna,Crataegus monogyna,EcM
9204445.0,Betula seedling/sp,,
9201230.0,Malus sylvestris,Malus sylvestris,EcM
9201230.0,Malus sylvestris,Malus sylvestris,AM
92077.0,Alnus glutinosa,Alnus glutinosa,AM
92077.0,Alnus glutinosa,Alnus glutinosa,EcM
92077.0,Alnus glutinosa,Alnus glutinosa,dual
92077.0,Alnus glutinosa,Alnus glutinosa,nm
200001670.0,Ulex sp.,,
9204558.0,Salix seedling/sp,,
9201788.0,Salix caprea,Salix caprea,EcM
9201788.0,Salix caprea,Salix caprea,nm
9201788.0,Salix caprea,Salix caprea,AM
9201023.0,Ilex aquifolium,Ilex aquifolium,AM
9201023.0,Ilex aquifolium,Ilex aquifolium,EcM
9205178.0,Pseudotsuga spp.,,
9205.0,Acer pseudoplatanus,Acer pseudoplatanus,AM
9205.0,Acer pseudoplatanus,Acer pseudoplatanus,nm
9205.0,Acer pseudoplatanus,Acer pseudoplatanus,non-EcM
9205.0,Acer pseudoplatanus,Acer pseudoplatanus,EcM
920810.0,Fagus sylvatica,Fagus sylvatica,EcM
9201611.0,Prunus avium,Prunus avium,AM
9201611.0,Prunus avium,Prunus avium,EcM
9201611.0,Prunus avium,Prunus avium,nm
9201614.0,Prunus domestica,Prunus domestica,AM
9201614.0,Prunus domestica,Prunus domestica,nm
9201470.0,Picea abies,Picea abies,EcM
9204407.0,Nothofagus nervosa,,
9204546.0,Pinus sp./seedling,,
9201616.0,Prunus padus,Prunus padus,AM
9201616.0,Prunus padus,Prunus padus,dual
9201616.0,Prunus padus,Prunus padus,EcM
9201616.0,Prunus padus,Prunus padus,non-EcM
9201815.0,Sambucus nigra,Sambucus nigra,AM
9201815.0,Sambucus nigra,Sambucus nigra,nm
9201815.0,Sambucus nigra,Sambucus nigra,non-EcM
9205194.0,Rhododendron spp.,,
920432.0,Castanea sativa,Castanea sativa,AM
920432.0,Castanea sativa,Castanea sativa,EcM
9201484.0,Pinus sylvestris,Pinus sylvestris,EcM
9201484.0,Pinus sylvestris,Pinus sylvestris,AM
9201484.0,Pinus sylvestris,Pinus sylvestris,non-AM
9201484.0,Pinus sylvestris,Pinus sylvestris,dual
9201484.0,Pinus sylvestris,Pinus sylvestris,nm
9202063.0,Tilia cordata,Tilia cordata,EcM
9202063.0,Tilia cordata,Tilia cordata,AM
9202063.0,Tilia cordata,Tilia cordata,nm
9201482.0,Pinus nigra,Pinus nigra,EcM
920239.0,Betula pendula,Betula pendula,EcM
920239.0,Betula pendula,Betula pendula,AM
920240.0,Betula pubescens,Betula pubescens,AM
920240.0,Betula pubescens,Betula pubescens,EcM
9201555.0,Populus tremula,Populus tremula,EcM
9201555.0,Populus tremula,Populus tremula,AM
9201555.0,Populus tremula,Populus tremula,dual
9201617.0,Prunus spinosa,Prunus spinosa,EcM
9201617.0,Prunus spinosa,Prunus spinosa,AM
9201617.0,Prunus spinosa,Prunus spinosa,nm
9201617.0,Prunus spinosa,Prunus spinosa,non-EcM
920568.0,Crataegus laevigata x monogyna (C. x macrocarpa),,
9203.0,Acer campestre,Acer campestre,AM
9203.0,Acer campestre,Acer campestre,nm
9203.0,Acer campestre,Acer campestre,EcM
9201635.0,Quercus cerris,Quercus cerris,EcM
200001651.0,Populus sp.,,
9201789.0,Salix cinerea,Salix cinerea,EcM
9201789.0,Salix cinerea,Salix cinerea,AM
920428.0,Carpinus betulus,Carpinus betulus,EcM
9201615.0,Prunus laurocerasus,Prunus laurocerasus,EcM
9201687.0,Rhododendron ponticum,Rhododendron ponticum,ErM
9205313.0,Ulex sp./seedling,,
9201637.0,Quercus ilex,Quercus ilex,EcM
9204552.0,Prunus sp.,,
9201705.0,Rosa seedling/sp,,
9204314.0,Ulmus sp.,,
920548.0,Cornus sanguinea,Cornus sanguinea,AM
920548.0,Cornus sanguinea,Cornus sanguinea,nm
9202185.0,Viburnum opulus,Viburnum opulus,AM
9202184.0,Viburnum lantana,Viburnum lantana,AM
9202184.0,Viburnum lantana,Viburnum lantana,non-EcM
920762.0,Euonymus europaeus,Euonymus europaeus,AM
9204658.0,Abies sp.,,
9202022.0,Symphoricarpos albus,Symphoricarpos albus,AM
9201958.0,Sorbus aria,Sorbus aria,nm
9201958.0,Sorbus aria,Sorbus aria,AM
9202401.0,Picea sitchensis,Picea sitchensis,EcM
9202398.0,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,AM
9202398.0,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,non-EcM
9202122.0,Ulmus procera,,
920570.0,Crataegus laevigata,Crataegus laevigata,AM
920570.0,Crataegus laevigata,Crataegus laevigata,EcM
9201144.0,Ligustrum vulgare,Ligustrum vulgare,AM
9201144.0,Ligustrum vulgare,Ligustrum vulgare,non-EcM
920839.0,Frangula alnus,Frangula alnus,AM
920839.0,Frangula alnus,Frangula alnus,nm
920839.0,Frangula alnus,Frangula alnus,EcM
920839.0,Frangula alnus,Frangula alnus,non-EcM
9201675.0,Rhamnus cathartica,Rhamnus cathartica,AM
9201675.0,Rhamnus cathartica,Rhamnus cathartica,nm
9201675.0,Rhamnus cathartica,Rhamnus cathartica,non-EcM
9204561.0,Sorbus sp.,,
9201188.0,Lonicera periclymenum,Lonicera periclymenum,AM
9201802.0,Salix repens agg.,,
9201551.0,Populus canescens,Populus canescens,dual
9201551.0,Populus canescens,Populus canescens,EcM
9202065.0,Tilia x vulgaris,,
9202241.0,Aesculus hippocastanum,Aesculus hippocastanum,AM
9202241.0,Aesculus hippocastanum,Aesculus hippocastanum,nm
9202241.0,Aesculus hippocastanum,Aesculus hippocastanum,non-EcM
9205289.0,Tilia sp.,,
9201697.0,Ribes uva-crispa,Ribes uva-crispa,AM
9202404.0,Tsuga heterophylla,Tsuga heterophylla,EcM
9202404.0,Tsuga heterophylla,Tsuga heterophylla,dual
9205155.0,Picea sp,,
9204.0,Acer platanoides,Acer platanoides,AM
9204.0,Acer platanoides,Acer platanoides,nm
9204.0,Acer platanoides,Acer platanoides,EcM
9204.0,Acer platanoides,Acer platanoides,non-EcM
9201640.0,Quercus robur,Quercus robur,EcM
9201640.0,Quercus robur,Quercus robur,non-EcM
200001691.0,Azalea spp.,,
9201613.0,Prunus cerasus,Prunus cerasus,EcM
9201708.0,Rosa canina agg.,,
9202112.0,Ulex europaeus,Ulex europaeus,AM
9201977.0,Sorbus torminalis,Sorbus torminalis,EcM
9202115.0,Ulmus minor (c),,
920528.0,Clematis vitalba,Clematis vitalba,AM
920528.0,Clematis vitalba,Clematis vitalba,EcM
9201707.0,Rosa arvensis,Rosa arvensis,AM
9201230.1,Malus domestica,Malus domestica,AM
9204313.0,Populus nigra,Populus nigra,EcM
9204313.0,Populus nigra,Populus nigra,dual
9204313.0,Populus nigra,Populus nigra,AM
920277.0,Buddleja davidii,Buddleja davidii,AM
920277.0,Buddleja davidii,Buddleja davidii,nm
9201698.0,Robinia pseudoacacia,Robinia pseudoacacia,AM
9201698.0,Robinia pseudoacacia,Robinia pseudoacacia,nm
9201698.0,Robinia pseudoacacia,Robinia pseudoacacia,dual
9201698.0,Robinia pseudoacacia,Robinia pseudoacacia,EcM
9201698.0,Robinia pseudoacacia,Robinia pseudoacacia,non-EcM
9202403.0,Thuja plicata,Thuja plicata,AM
9201822.0,Cytisus scoparius,Cytisus scoparius,AM
9201822.0,Cytisus scoparius,Cytisus scoparius,non-EcM
9201080.0,Juniperus communis,Juniperus communis,AM
9201080.0,Juniperus communis,Juniperus communis,EcM
9201080.0,Juniperus communis,Juniperus communis,non-EcM
9201080.0,Juniperus communis,Juniperus communis,non-AM
9204550.0,Populus deltoides,Populus deltoides,AM
9204550.0,Populus deltoides,Populus deltoides,EcM
9204550.0,Populus deltoides,Populus deltoides,dual
200001596.0,Ribes sp.,,
9201805.0,Salix viminalis,Salix viminalis,AM
9201805.0,Salix viminalis,Salix viminalis,EcM
9201816.0,Sambucus racemosa,Sambucus racemosa,AM
9201816.0,Sambucus racemosa,Sambucus racemosa,dual
9201787.0,Salix aurita,Salix aurita,EcM
9201787.0,Salix aurita,Salix aurita,nm
9201793.0,Salix fragilis,Salix fragilis,EcM
9201049.0,Juglans regia,Juglans regia,AM
9201049.0,Juglans regia,Juglans regia,nm
9201049.0,Juglans regia,Juglans regia,EcM
9201049.0,Juglans regia,Juglans regia,non-EcM
9201794.0,Salix herbacea,Salix herbacea,EcM
9201794.0,Salix herbacea,Salix herbacea,non-AM
9201794.0,Salix herbacea,Salix herbacea,dual
9205288.0,Thuja spp.,,
9201549.0,Populus alba,Populus alba,AM
9201549.0,Populus alba,Populus alba,EcM
9201549.0,Populus alba,Populus alba,dual
9201549.0,Populus alba,Populus alba,nm
200001601.0,Acer sp.,,
9201091.0,Laburnum anagyroides,Laburnum anagyroides,AM
9202029.0,Syringa vulgaris,Syringa vulgaris,AM
9202029.0,Syringa vulgaris,Syringa vulgaris,non-EcM
200001656.0,Pyrus sp.,,
