"","site","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1",8,52.085128,-0.94480826,1,30.44571183,123.3125,113,0.05,0.31,"Say's Copse & Smalladine Copse"
"2",10,51.586329,-0.96939169,0,57.77718792,146.75,72,0.13,0.49,"Kitesgrove, Juniperhall and Home woods; Big Ashes and
Stockings Plantations"
"3",11,52.828352,-0.50091106,1,25.43497616,81.5,68,0.14,0.21,"Old Park Wood"
"4",13,52.262205,-1.7523386,1,84.91371374,96.25,102,0.06,0.25,"Austy Wood"
"5",21,52.893592,-0.47041698,1,12.51788812,73.5,59,0.12,0.14,"Sapperton South Wood & Pickworth Wood"
"6",25,52.249142,-0.11033538,0,9.052129629,45,69,NA,0.07,"Papworth Wood"
"7",27,52.106392,0.2837488,0,9.077027209,89.8125,37,0.09,0.1,"Rivey Wood"
"8",29,51.553582,-0.83310686,0,26.33209824,55.75,76,0.14,0.36,"Medmenham wood"
"9",31,52.121907,0.31814202,1,34.79787233,107.0625,90,0.11,0.09,"Balsham"
"10",32,51.75885,-0.04103527,0,63.29192078,59.625,55,0.18,0.45,"Hoddesdonpark Wood"
