"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",1169,19,1,NA,"W8d",6.761,26.52319,5,2.177516408,10.91,0.925,20,"W8"
"2",1170,19,2,NA,"W8d",6.524,20.20539,5,0.430005494,8.44,0.98,20,"W8"
"3",1171,19,3,NA,"W10c",6.529,14.42472,5,0.836449044,10.57,0.565,20,"W10"
"4",1172,19,4,NA,"W10c",6.886,16.9108,5,1.105447915,10.21,0.64,17,"W10"
"5",1173,19,5,NA,"W8d",7.286,20.52819,5,0.850193512,10.11,0.89,21,"W8"
"6",1174,19,6,NA,"W10",6.861,23.91858,5,0.437859476,9.55,0.585,20,"W10"
"7",1175,19,7,NA,"W8d",6.935,18.38341,5,0.818777585,9.86,0.265,28,"W8"
"8",1176,19,8,NA,"W8d",6.765,15.0636,5,1.63362818,10.64,0.35,18,"W8"
"9",1177,19,9,NA,"W10a",6.753,15.33122,5,1.678788574,11.28,0.43,14,"W10"
"10",1178,19,10,NA,"W10a",5.705,14.13171,5,1.433351648,12.85,0.445,16,"W10"
"11",1179,19,11,NA,"W10c",5.154,13.10544,5,2.100940087,14.64,0.34,14,"W10"
"12",1180,19,12,NA,"W10c",6.131,14.95673,5,2.381719931,14.71,0.635,13,"W10"
"13",1181,19,13,NA,"W8d",6.295,20.91305,5,0.35931966,10.13,0.855,6,"W8"
"14",1182,19,14,NA,"W8d",6.272,15.4488,5,1.973312886,10,0.675,20,"W8"
"15",1183,19,15,NA,"W8d",6.333,34.94772,5,0.797179136,9.17,0.44,26,"W8"
"16",1184,19,16,NA,"W10c",6.41,40.43497,5,0.524253274,9.83,0.315,18,"W10"
