site,meanls,meanrate,meancg,morphs,propoccOR,horizon
aw,8.668992514,1577.816571,0.216162791,4.571428571,0.93,or
bd,,,,,,or
bw,1.225827952,3712.519673,0.108571429,3.714285714,0.93,or
dk,16.7326108,952.7130996,0.046666667,5.866666667,1.00,or
do,17.02098779,630.9643009,0.158666667,5.333333333,1.00,or
fl,0.634482741,3666.649012,0.38,4.2,1.00,or
fs,9.330953616,3949.888105,0.176,5.266666667,1.00,or
gd,12.44651988,432.1676213,0.076914601,4.454545455,0.92,or
gp,9.404902469,910.428412,0.166,5.133333333,1.00,or
gw,4.496139385,1183.118484,0.295333333,4.53,1.00,or
hp,15.60912206,1285.970287,0.266947211,4.928571429,0.93,or
ll,,,,,0.60,or
lw,,,,,0.73,or
sp,3.520636725,3161.663849,0.222,3.8,1.00,or
tw,9.504152767,2108.440937,0.201428571,5,0.93,or
wc,23.55590249,265.3698767,0.250769231,4.307692308,0.87,or
ws,27.53193932,3433.257792,0.042,3,1.00,or
ww,61.27300442,5512.144497,0.042,1.8,1.00,or
yw,14.13383538,1319.945849,0.354844758,3.928571429,0.93,or
aw,9.778812138,1441.491697,0.210977657,6.272727273,0.67,a
bd,,,,,,a
bw,1.161269537,941.941092,0.006,2.2,0.67,a
dk,1.668745084,236.4334062,0.323134172,4.333333333,0.80,a
do,11.90549937,187.5461376,0.155699346,3.8,0.67,a
fl,0.46085272,3789.487262,0.408609762,3.714285714,0.93,a
fs,0.49468614,1459.29996,0.109015152,5,1.00,a
gd,4.645895365,81.6297844,0.211143879,3.375,0.67,a
gp,1.352619233,143.9651847,0.286375451,5.454545455,0.73,a
gw,0.885337326,343.4801734,0.349801587,3.33,0.80,a
hp,9.674285714,104.856107,0.254567114,3.4,0.33,a
ll,,,,,0.40,a
lw,,,,,0.60,a
sp,0.407452291,443.778022,14.97915369,3.090909091,0.73,a
tw,6.494663117,394.6490564,0.284823835,3.888888889,0.60,a
wc,2.154194498,30.17241379,0.592958285,4.111111111,0.60,a
ws,0.337254897,361.6795322,0.148302469,4.125,0.53,a
ww,0.215433019,228.2724252,0.323671498,3,0.20,a
yw,2.32565545,132.6803675,0.361583578,3.666666667,0.40,a
